2024-11-14 17:34:58.590151,2024-11-14 17:34:58.437437,Frame:2333
2024-11-14 17:34:58.601457,2024-11-14 17:34:58.468468,Frame:2335
2024-11-14 17:34:58.645183,2024-11-14 17:34:58.5005,Frame:2337
2024-11-14 17:34:58.667323,2024-11-14 17:34:58.532532,Frame:2339
2024-11-14 17:34:58.698931,2024-11-14 17:34:58.564564,Frame:2341
2024-11-14 17:34:58.731220,2024-11-14 17:34:58.596596,Frame:2343
2024-11-14 17:34:58.764616,2024-11-14 17:34:58.628628,Frame:2345
2024-11-14 17:34:58.811586,2024-11-14 17:34:58.66066,Frame:2347
2024-11-14 17:34:58.823099,2024-11-14 17:34:58.708708,Frame:2350
2024-11-14 17:34:58.880972,2024-11-14 17:34:58.74074,Frame:2352
2024-11-14 17:34:58.914105,2024-11-14 17:34:58.772772,Frame:2354
2024-11-14 17:34:58.936829,2024-11-14 17:34:58.804804,Frame:2356
2024-11-14 17:34:58.969503,2024-11-14 17:34:58.836836,Frame:2358
2024-11-14 17:34:59.004572,2024-11-14 17:34:58.868868,Frame:2360
2024-11-14 17:34:59.030358,2024-11-14 17:34:58.9009,Frame:2362
2024-11-14 17:34:59.052715,2024-11-14 17:34:58.932932,Frame:2364
2024-11-14 17:34:59.108557,2024-11-14 17:34:58.964964,Frame:2366
2024-11-14 17:34:59.133946,2024-11-14 17:34:58.996996,Frame:2368
2024-11-14 17:34:59.169466,2024-11-14 17:34:59.028028,Frame:2370
2024-11-14 17:34:59.202161,2024-11-14 17:34:59.06006,Frame:2372
2024-11-14 17:34:59.235208,2024-11-14 17:34:59.093093,Frame:2374
2024-11-14 17:34:59.269520,2024-11-14 17:34:59.14014,Frame:2377
2024-11-14 17:34:59.290957,2024-11-14 17:34:59.172172,Frame:2379
2024-11-14 17:34:59.346757,2024-11-14 17:34:59.204204,Frame:2381
2024-11-14 17:34:59.384100,2024-11-14 17:34:59.236236,Frame:2383
2024-11-14 17:34:59.407401,2024-11-14 17:34:59.268268,Frame:2385
2024-11-14 17:34:59.430888,2024-11-14 17:34:59.3003,Frame:2387
2024-11-14 17:34:59.478394,2024-11-14 17:34:59.332332,Frame:2389
2024-11-14 17:34:59.514704,2024-11-14 17:34:59.365365,Frame:2391
2024-11-14 17:34:59.526350,2024-11-14 17:34:59.38038,Frame:2392
2024-11-14 17:34:59.560371,2024-11-14 17:34:59.43043,Frame:2395
2024-11-14 17:34:59.615093,2024-11-14 17:34:59.461461,Frame:2397
2024-11-14 17:34:59.637366,2024-11-14 17:34:59.492492,Frame:2399
2024-11-14 17:34:59.874808,2024-11-14 17:34:59.715715,Frame:2402
2024-11-14 17:34:59.908372,2024-11-14 17:34:59.743743,Frame:2404
2024-11-14 17:34:59.941508,2024-11-14 17:34:59.805805,Frame:2408
2024-11-14 17:34:59.963270,2024-11-14 17:34:59.835835,Frame:2410
2024-11-14 17:35:00.010324,2024-11-14 17:34:59.863863,Frame:2412
2024-11-14 17:35:00.036666,2024-11-14 17:34:59.894894,Frame:2414
2024-11-14 17:35:00.069233,2024-11-14 17:34:59.926926,Frame:2416
2024-11-14 17:35:00.104058,2024-11-14 17:34:59.958958,Frame:2418
